Time,Wave_Height
0,0
0.01,1.39141720416304e-08
0.02,5.56309228988614e-08
0.03,1.25098585574785e-07
0.04,2.22248002398333e-07
0.05,3.4699235613502e-07
0.06,4.99226998140798e-07
0.07,6.78829273385862e-07
0.08,8.856583434216e-07
0.09,1.1195550080746e-06
0.1,1.3803415264867e-06
0.11,1.66782143854448e-06
0.12,1.98177938729175e-06
0.13,2.3219809438019e-06
0.14,2.68817243500355e-06
0.15,3.08008077567566e-06
0.16,3.49741330567674e-06
0.17,3.9398576335966e-06
0.18,4.40708148780111e-06
0.19,4.89873257602041e-06
0.2,5.41443845483504e-06
0.21,5.953806410033e-06
0.22,6.51642334919237e-06
0.23,7.10185570754802e-06
0.24,7.7096493685412e-06
0.25,8.33932960026817e-06
0.26,8.99040100853202e-06
0.27,9.6623475088196e-06
0.28,1.0354632316929e-05
0.29,1.10666979609295e-05
0.3,1.17979663143617e-05
0.31,1.25478386526545e-05
0.32,1.33156957334558e-05
0.33,1.41008979021081e-05
0.34,1.49027852232863e-05
0.35,1.57206776398639e-05
0.36,1.655387515977e-05
0.37,1.7401658071989e-05
0.38,1.82632871925949e-05
0.39,1.91380041412935e-05
0.4,2.00250316495709e-05
0.41,2.09235739011131e-05
0.42,2.18328169049007e-05
0.43,2.27519289017128e-05
0.44,2.36800608046405e-05
0.45,2.46163466736138e-05
0.46,2.55599042248654e-05
0.47,2.65098353750959e-05
0.48,2.7465226820798e-05
0.49,2.84251506526764e-05
0.5,2.9388665005362e-05
0.51,3.03548147421584e-05
0.52,3.13226321747899e-05
0.53,3.22911378177373e-05
0.54,3.32593411771537e-05
0.55,3.42262415733732e-05
0.56,3.51908289969726e-05
0.57,3.61520849976483e-05
0.58,3.71089836048811e-05
0.59,3.80604922800485e-05
0.6,3.90055728985424e-05
0.61,3.99431827614306e-05
0.62,4.08722756351311e-05
0.63,4.17918028180271e-05
0.64,4.27007142328508e-05
0.65,4.35979595432787e-05
0.66,4.44824892933628e-05
0.67,4.53532560682037e-05
0.68,4.62092156742641e-05
0.69,4.70493283373976e-05
0.7,4.78725599170946e-05
0.71,4.8677883134724e-05
0.72,4.94642788139528e-05
0.73,5.02307371313514e-05
0.74,5.09762588748409e-05
0.75,5.16998567080305e-05
0.76,5.24005564380076e-05
0.77,5.30773982843698e-05
0.78,5.37294381470386e-05
0.79,5.43557488704438e-05
0.8,5.49554215017781e-05
0.81,5.55275665403799e-05
0.82,5.60713151762122e-05
0.83,5.65858205142753e-05
0.84,5.70702587829187e-05
0.85,5.75238305228056e-05
0.86,5.79457617544037e-05
0.87,5.83353051207732e-05
0.88,5.86917410035377e-05
0.89,5.90143786087054e-05
0.9,5.93025570202439e-05
0.91,5.95556462182395e-05
0.92,5.97730480592577e-05
0.93,5.99541972161004e-05
0.94,6.00985620743178e-05
0.95,6.0205645583006e-05
0.96,6.02749860572032e-05
0.97,6.03061579292635e-05
0.98,6.02987724470083e-05
0.99,6.025247831596e-05
1,6.01669622834148e-05
1.01,6.00419496621081e-05
1.02,5.98772047910469e-05
1.03,5.96725314315983e-05
1.04,5.94277730965958e-05
1.05,5.91428133105788e-05
1.06,5.8817575799155e-05
1.07,5.84520246059416e-05
1.08,5.8046164135031e-05
1.09,5.76000391178454e-05
1.1,5.71137345025461e-05
1.11,5.65873752648483e-05
1.12,5.60211261390097e-05
1.13,5.5415191267882e-05
1.14,5.47698137710801e-05
1.15,5.4085275230349e-05
1.16,5.33618950917186e-05
1.17,5.26000299835653e-05
1.18,5.18000729505027e-05
1.19,5.09624526026388e-05
1.2,5.00876321802552e-05
1.21,4.91761085339365e-05
1.22,4.82284110203949e-05
1.23,4.72451003143398e-05
1.24,4.62267671370348e-05
1.25,4.51740309021515e-05
1.26,4.4087538279958e-05
1.27,4.29679616807382e-05
1.28,4.18159976587677e-05
1.29,4.06323652381811e-05
1.3,3.94178041623525e-05
1.31,3.81730730684377e-05
1.32,3.68989475890228e-05
1.33,3.55962183829312e-05
1.34,3.42656890973756e-05
1.35,3.29081742639357e-05
1.36,3.15244971307722e-05
1.37,3.01154874339557e-05
1.38,2.86819791106171e-05
1.39,2.72248079570772e-05
1.4,2.57448092350332e-05
1.41,2.42428152291841e-05
1.42,2.2719652759756e-05
1.43,2.11761406535037e-05
1.44,1.96130871769773e-05
1.45,1.80312874359095e-05
1.46,1.64315207447309e-05
1.47,1.48145479703395e-05
1.48,1.31811088543843e-05
1.49,1.1531919318393e-05
1.5,9.86766875621175e-06
1.51,8.18901731833198e-06
1.52,6.49659319271577e-06
1.53,4.79098988689582e-06
1.54,3.07276351612869e-06
1.55,1.34243010250143e-06
1.56,-3.99537110067439e-07
1.57,-2.15271031992747e-06
1.58,-3.91670980585418e-06
1.59,-5.69120653416529e-06
1.6,-7.47592472968759e-06
1.61,-9.27064440541479e-06
1.62,-1.10752038457149e-05
1.63,-1.28895020379004e-05
1.64,-1.4713501047028e-05
1.65,-1.65472283287415e-05
1.66,-1.83907789750657e-05
1.67,-2.02443178880139e-05
1.68,-2.21080818759756e-05
1.69,-2.39823816678501e-05
1.7,-2.58676038399798e-05
1.71,-2.77642126509905e-05
1.72,-2.96727517796989e-05
1.73,-3.15938459613988e-05
1.74,-3.35282025178387e-05
1.75,-3.54766127763881e-05
1.76,-3.74399533739447e-05
1.77,-3.94191874412918e-05
1.78,-4.14153656637141e-05
1.79,-4.34296272138407e-05
1.8,-4.54632005528323e-05
1.81,-4.75174040961423e-05
1.82,-4.95936467403216e-05
1.83,-5.16934282474108e-05
1.84,-5.38183394837314e-05
1.85,-5.59700625100343e-05
1.86,-5.81503705201105e-05
1.87,-6.03611276253187e-05
1.88,-6.26042884824678e-05
1.89,-6.48818977629249e-05
